,Unnamed: 0,Hestekræfter,Brændstoftype,Biltype,Gearkasse,Årgang,Kilometer,Model,Pris,Link,Sidst synet,Farve,Registreringsdato,Antal døre,Antal gear,Cylindre,Trækhjul,Max påhæng,Tank,Km/l,0 - 100 km/t,Tophastighed,Vægt,Lasteevne,Airbags,Grøn Ejerafgift,Nypris,Nummerplade,Make
13107,13107,125,Benzin,,,2017,50000,"Focus 1,0 EcoBoost Titanium 125HK Stc 6g",169700,/fordfocus10ecoboosttitanium125hkstc6g/id856636,,koksmetal,31032017,5,,3,,,,"20,8",,,,,,660,,,Ford
13108,13108,150,Benzin,Stationcar,,2016,73000,"Octavia 1,4 TSi 150 Style Combi",168900,/skodaoctavia14tsi150stylecombi/id856635,16072019,hvid,01072015,5,6,4,Forhjul,1500,50,"19,2",8,212,1277,570,,1280,,,Skoda
13109,13109,,Diesel,,,2011,122000,"RAV4 D-CAT 150 T3 Aut. 4+4 Van, 5d",108900,/toyotarav4dcat150t3aut4plus4van5d/id856634,,sort,01052011,,,,,,,,,,,,,,,,Toyota
13110,13110,,El,,,2014,154000,Model S 85 el EL Performance 416HK 5d Aut.,329900,/teslamodels85elelperformance416hk5daut/id856629,,koks,,,,,,,,"50,4",,,,,,,,,Tesla
13111,13111,114,Diesel,Stor,Manuel,2015,137000,"Transporter 2,0 TDi 114 Mandskabsvogn lang",1776,/vwtransporter20tdi114mandskabsvognlang/id856748,,,24022015,5,5,4,Forhjul,,,"14,7",,,,,,8100,,,VW
13112,13112,68,Benzin,Hatchback,Manuel,2013,105000,"Alto 1,0 GL ECO+ Aircon",36900,/suzukialto10glecoplusaircon/id856855,,Mørkblåmetal,04122013,5,5,3,Forhjul,200,35,"24,4",14,155,930,320,6,660,89990,,Suzuki
13113,13113,130,Benzin,SUV,Automatisk,2017,43000,"3008 1,2 e-THP 130 Active EAT6",249900,/peugeot300812ethp130activeeat6/id856868,,Grå,03112017,5,6,3,Forhjul,1200,53,"18,7","10,1",188,1463,467,6,1780,,,Peugeot
13114,13114,102,Diesel,Varevogn,Manuel,2015,112000,"Caddy 1,6 TDi 102 Edition 30",89900,/vwcaddy16tdi102edition30/id856834,,Hvid,05032015,4,5,4,Forhjul,1500,60,"19,6","12,2",170,1443,632,2,4680,187381,,VW
13115,13115,114,Diesel,Stor,Manuel,2015,137000,"Transporter 2,0 TDi 114 Mandskabsvogn lang",94800,/vwtransporter20tdi114mandskabsvognlang/id856747,,,24022015,5,5,4,Forhjul,,,"14,7",,,,,,8100,,,VW
13116,13116,86,Benzin,Stationcar,Manuel,2013,97000,"Fabia 1,2 TSi 86 Elegance Combi",72500,/skodafabia12tsi86elegancecombi/id856794,,,14022013,5,5,4,Forhjul,1000,45,"19,2","11,8",178,1061,530,6,1280,209000,,Skoda
13117,13117,110,Diesel,Hatchback,Manuel,2011,321000,"C3 Picasso 1,6 HDi 110 Seduction",22900,/citroenc3picasso16hdi110seduction/id856581,,Sølvmetal,28072010,5,5,4,Forhjul,950,50,"20,4","12,4",183,1308,487,6,4680,222278,,Citroën
13118,13118,204,Diesel,Stationcar,Automatisk,2011,169000,"508 2,2 HDi 204 GT SW aut.",148800,/peugeot50822hdi204gtswaut/id873103,,Sortmetal,12102011,5,6,4,Forhjul,1600,72,"16,9","8,4",232,1780,500,6,6380,586990,,Peugeot
13119,13119,115,Benzin,Hatchback,Manuel,2009,210000,"Octavia 1,6 FSi Elegance",34500,/skodaoctavia16fsielegance/id856751,,,08122008,5,5,4,Forhjul,1200,60,"15,2","11,2",198,1250,725,6,3140,277999,,Skoda
13120,13120,67,Benzin,Hatchback,Manuel,2021,100,"Picanto 1,0 MPI GT-Line  5d",151500,/kiapicanto10mpigtline5d/id879603,,New,05052021,5,5,3,,,,"25,6",,161,1320,,,,,406611,Kia
13121,13121,122,Benzin,Hatchback,Manuel,2011,158000,"Golf VI 1,4 TSi 122 Comfortline",79800,/vwgolfvi14tsi122comfortline/id856602,,Sølvmetal,06052011,5,6,4,Forhjul,1300,55,"16,1","9,5",200,1190,680,7,2520,264997,,VW
13122,13122,120,Diesel,Stationcar,Manuel,2015,89000,"508 1,6 BlueHDi 120 Active SW",154900,/peugeot50816bluehdi120activesw/id856576,,Koksmetal,05032015,5,6,4,Forhjul,1375,72,"23,8","11,3",199,1625,495,6,3020,377993,,Peugeot
13123,13123,150,Benzin,MPV,Automatisk,2020,19000,"Touran 1,5 TSi 150 Comfort. Family DSG 7p",329900,/vwtouran15tsi150comfortfamilydsg7p/id856734,,Gråmetal,22062020,5,7,4,Forhjul,1500,58,"20,4","8,9",209,1530,570,7,1160,323917,,VW
13124,13124,120,Benzin,Hatchback,Manuel,2008,241000,"308 1,6 VTi Comfort+",22900,/peugeot30816vticomfortplus/id856616,,Rød,13022008,5,5,4,Forhjul,1200,60,"14,9","10,8",197,1362,453,6,3140,232989,,Peugeot
13125,13125,132,Benzin,Stationcar,Manuel,2010,139436,"Avensis 1,6 VVT-I T1  Stc 6g",[,/toyotaavensis16vvtit1stc6g/id866227,01112018,Koksmetal,30112010,,6,,,,,"15,2",,,1970,,,,,CG52150,Toyota
13126,13126,105,Diesel,MPV,Manuel,2015,81000,"500L 1,6 MJT 105 Trekking",99900,/fiat500l16mjt105trekking/id856575,,Gul,29062015,5,6,4,Forhjul,1100,50,"21,3",12,175,1440,485,6,3880,342866,,Fiat
13127,13127,110,Benzin,SUV,Automatisk,2020,11000,"T-Cross 1,0 TSi 110 Style Team DSG",269900,/vwtcross10tsi110styleteamdsg/id856733,,Hvid,28062020,5,7,3,Forhjul,1100,40,"22,4","10,4",189,1298,472,7,1080,278618,,VW
13128,13128,163,Benzin,SUV,Automatisk,2019,40000,"Eclipse Cross 1,5 T 163 Intense+ CVT",264900,/mitsubishieclipsecross15t163intensepluscvt/id856678,,Hvidmetal,25042019,5,8,4,Forhjul,1600,63,"14,9","9,3",200,1575,575,6,3640,364995,,Mitsubishi
13129,13129,60,Benzin,Hatchback,Manuel,2013,137000,"Citigo 1,0 60 Ambition GreenTec",47900,/skodacitigo1060ambitiongreentec/id856562,,Hvid,19022013,5,5,3,Forhjul,,35,"24,4","14,4",161,940,350,4,660,105999,,Skoda
13130,13130,156,Benzin,Coupe,Manuel,2012,158000,"C180 1,8 Coupé BE",189900,/mercedesc18018coupebe/id856721,,Sort,05122011,2,6,4,Baghjul,1800,59,"14,9",9,225,1500,500,7,3140,541901,,Mercedes
