Årgang,Farve,Vægt,Tophastighed,Sidst synet,Trækhjul,Kilometer,Nypris,Cylindre,Tank,0 - 100 km/t,Airbags,Grøn Ejerafgift,Lasteevne,Model,Gearkasse,Nummerplade,Hestekræfter,Biltype,Max. påhæng,Pris,Registreringsdato,Antal døre,Km/l,Brændstoftype,Antal gear
2012,,1.910,247,,4x4,272.000,626.199,6,80,"7,3",7,8.940,590,"Mercedes E350 3,0 CDi stc. aut. 4-M BE Van",Automatisk,,265,Stationcar,2.100,119.990,26-07-2012,5,14,Diesel,7
2017,Blåmetal,1.515,231,,Baghjul,96.000,606.018,4,57,"7,3",6,2.180,565,"BMW 420d 2,0 Gran Coupé aut.",Automatisk,,190,Hatchback,1.600,264.900,31-03-2017,5,25,Diesel,8
2011,Sølvmetal,1.575,218,,Forhjul,143.000,,4,70,"8,9",8,6.380,570,"Audi A6 2,0 TDi 170 S-line Multitr.",Automatisk,,170,Sedan,1.600,134.500,12-08-2010,4,"17,2",Diesel,2
1991,Beigemetal,1.350,225,,Baghjul,358.000,,6,,"8,1",,6.100,500,"Mercedes 300 E 3,0",Manuel,,180,Mellem,1.900,29.900,11-06-1991,4,"9,9",Benzin,5
2012,,1.494,222,,Forhjul,156.000,556.898,4,66,"8,8",6,6.380,523,"Renault Laguna III 2,0 dCi 175 Dynamique Coupé aut.",Automatisk,,175,Coupe,1.500,139.800,22-11-2011,2,"16,7",Diesel,6
2013,Hvidmetal,1.464,230,,Forhjul,203.000,655.004,4,68,"6,3",6,4.360,606,"Volvo S60 2,0 T5 245 R-Design aut.",Automatisk,,245,Sedan,1.600,139.900,02-10-2012,4,"12,7",Benzin,8
2014,Sort,1.190,163,,Forhjul,40.000,139.990,4,45,"13,7",6,2.180,374,"Citroën C3 1,4 HDi 70 Attraction",Manuel,,70,Hatchback,700,72.900,25-08-2014,5,"26,3",Diesel,5
2018,,1.893,175,,4x4,390.000,,4,80,"12,3",7,8.100,1.307,"Ford Ranger 2,2 TDCi 160 Db.Kab Wildtrack 4x4",Manuel,,160,4x4,3.500,Ring,21-06-2018,4,"14,9",Diesel,6
2015,Hvid,1.065,164,,Forhjul,86.000,128.988,4,50,"14,6",4,2.180,605,"Dacia Logan 1,5 dCi 75 Ambiance MCV",Manuel,,75,Stationcar,1.150,84.900,30-06-2015,5,"26,3",Diesel,5
2021,Gråmetal,2.565,200,,4x4,6.000,803.468,,,"5,7",6,740,565,Audi e-tron Advanced Prestige quattro,Automatisk,,408,SUV,1.800,Ring,07-12-2020,5,"48,4",El,1
2013,Sort,1.665,235,,Forhjul,242.000,629.861,6,63,"7,1",6,4.680,495,"Audi A4 3,0 TDi 204 Multitr.",Automatisk,,204,Sedan,1.900,149.000,30-11-2012,4,"20,4",Diesel,8
2011,Sort,1.385,194,,Forhjul,103.000,350.545,4,55,"11,8",6,3.020,575,"Audi A3 1,6 TDi Ambition S-tr.",Automatisk,,105,Hatchback,1.400,89.500,10-03-2011,3,"23,8",Diesel,6
2015,,1.288,212,,Forhjul,185.000,229.124,4,50,,7,660,522,"VW Golf VII 1,4 TSi 140 Highline DSG BMT Van",Automatisk,,140,Hatchback,1.500,79.000,27-03-2015,5,20,Benzin,7
2012,Grå,1.775,250,,4x4,256.000,,6,80,"6,4",7,6.380,585,"Mercedes CLS350 3,0 CDi aut. 4-M BE",Automatisk,,265,Sedan,,2.600,15-03-2012,4,"16,4",Diesel,7
2003,,1.025,161,,Forhjul,250.000,,4,45,"14,8",4,4.360,500,"Hyundai Getz 1,3 GLS aut.",Automatisk,,82,Hatchback,900,5.000,13-03-2003,3,"13,2",Benzin,4
2016,Mørkgrå,1.501,218,,Forhjul,65.000,438.398,4,66,"8,7",6,3.020,519,"VW Passat 2,0 TDi 150 Comfort+ DSG",Automatisk,,150,Sedan,2.000,249.000,29-06-2016,4,"22,7",Diesel,6
2016,Koksmetal,940,161,,Forhjul,102.000,97.402,3,35,"14,4",4,660,350,"Seat Mii 1,0 60 Style eco",Manuel,,60,Hatchback,,54.900,24-05-2016,5,"24,4",Benzin,5
2014,Gråmetal,1.550,200,,Forhjul,108.000,,4,63,"9,5",6,4.680,595,"Audi A4 2,0 TDi 150 S-line Avant Multitr.",Automatisk,,150,Stationcar,1.700,172.500,03-12-2013,5,"20,4",Diesel,8
2012,Koks,1.622,204,,4x4,163.000,487.238,4,58,"9,7",6,5.540,413,"Mazda CX-5 2,2 Sky-D 175 Optimum aut. AWD",Automatisk,,175,SUV,2.000,Ring,11-06-2012,5,"18,2",Diesel,6
2016,Sølvmetal,1.275,194,,Forhjul,124.000,280.993,4,53,"10,1",6,1.220,595,"Peugeot 308 1,6 BlueHDi 120 Active SW",Manuel,,120,Stationcar,1.300,99.900,25-04-2016,5,"31,3",Diesel,6
2012,,820,153,,Forhjul,180.000,127.896,3,35,"14,4",7,660,520,"Kia Picanto 1,0 Exclusive",Manuel,,69,Hatchback,700,39.900,24-04-2012,5,"23,3",Benzin,5
2013,Rød,1.020,185,,Forhjul,143.000,183.399,3,45,"12,2",4,660,620,"Renault Clio IV 0,9 TCe 90 Expression ST",Manuel,,90,Stationcar,1.200,74.500,01-07-2013,5,"22,2",Benzin,5
2016,,1.440,180,,Forhjul,149.000,199.993,4,60,"12,8",6,1.220,390,"Citroën C4 1,6 BlueHDi 100 Feel Complet",Manuel,,100,Hatchback,1.550,89.900,16-03-2016,5,"30,3",Diesel,5
2018,Perlemorshvid,2.015,230,,4x4,58.000,709.962,4,,"5,3",6,1.080,685,"Volvo XC60 2,0 T8 407 R-Design aut. AWD",Automatisk,,407,SUV,2.100,689.000,03-10-2017,5,"24,7",Benzin,8
2012,Koksmetal,1.865,225,,4x4,213.000,1.314.796,6,75,"6,5",8,8.940,580,"Audi Q5 3,0 TDi 240 S-line quattro S-tr.",Automatisk,,240,SUV,2.000,Ring,29-11-2012,5,"13,3",Diesel,7
2019,,1.385,181,,Forhjul,30.000,289.007,4,55,"12,3",6,3.260,615,"Nissan Qashqai 1,5 dCi 115 N-Connecta",Manuel,,115,SUV,1.350,239.900,14-08-2019,5,"26,2",Diesel,6
2014,,1.268,210,,Forhjul,115.000,329.903,4,62,"8,8",8,1.280,642,"Volvo V40 1,6 T3 150 Kinetic",Manuel,,150,Hatchback,1.300,149.800,20-03-2014,5,"18,9",Benzin,6
2020,Hvidmetal,1.112,182,,Forhjul,12.000,236.511,3,40,10,6,1.160,568,"Seat Arona 1,0 TSi 115 Xcellence DSG",Automatisk,,115,SUV,1.100,239.900,25-02-2020,5,22,Benzin,7
2017,,3.500,160,01-02-2020,,149.000,,4,,,,,,"Mercedes Sprinter 2,1 316 CDI Kassevogn  Lang",Manuel,CT18492,163,Van,,199.900,01-12-2017,6,"13,2",Diesel,6
2014,,1.224,195,,Forhjul,82.000,268.590,4,55,"11,8",6,2.520,601,"Ford Focus 1,6 Ti-VCT 125 Edition stc. aut.",Automatisk,,125,Stationcar,1.000,134.900,01-01-2014,5,"15,9",Benzin,6
2007,Champagnemetal,1.500,170,,4x4,122.000,225.865,4,66,"13,6",4,3.890,575,"Suzuki Grand Vitara 2,0 SE aut. Van",Automatisk,,140,Varevogn,1.700,89.999,25-04-2007,5,"9,6",Benzin,4
2011,,1.474,237,,Forhjul,79.000,373.991,4,60,"7,7",6,3.140,376,"Peugeot 308 1,6 THP 200 GTi",Manuel,,200,Hatchback,,89.800,26-01-2011,5,"14,5",Benzin,6
2013,Hvid,,,,Forhjul,126.000,,,,,,9.100,,"Renault Trafic T29 2,0 dCi 115 L2H1 ECO",Manuel,,115,Varevogn,,54.900,12-05-2014,5,"14,5",Diesel,6
2021,Hvid,1.797,,,Forhjul,0,258.223,4,70,,2,,1.203,"VW Transporter 2,0 TDi 110 Kassevogn kort",Manuel,,110,Varevogn,2.200,220.000,,,"17,5",Diesel,5
2006,Sølvmetal,1.047,175,,Forhjul,166.000,214.074,4,,"10,7",7,4.880,478,"Toyota Yaris 1,4 D-4D Luna",Manuel,,90,Hatchback,1.050,24.900,13-10-2006,5,"22,2",Diesel,5
2019,Hvid,2.196,165,,Forhjul,18.000,,4,75,,,10.640,1.304,"VW Crafter 35 2,0 TDi 177 Kassevogn L4H3",Manuel,,177,Varevogn,3.000,309.900,20-06-2019,,"12,2",Diesel,6
2020,Sølvmetal,1.470,214,,Forhjul,14.000,381.018,4,66,"8,9",6,1.160,590,"VW Passat 1,5 TSi 150 Business+ Variant DSG",Automatisk,,150,Stationcar,1.600,350.000,22-07-2020,5,"20,8",Benzin,7
2015,,925,170,,Forhjul,79.000,159.092,3,41,"13,7",6,660,500,"Nissan Micra 1,2 Tekna",Manuel,,80,Hatchback,,1.299,20-03-2015,5,20,Benzin,5
2003,Sort,1.410,226,,4x4,75.000,,4,62,"7,9",,6.200,385,"Audi TT 1,8 T 180 Coupé quattro",Manuel,,180,Coupe,,79.500,08-10-2002,2,"10,6",Benzin,6
2013,Sølvmetal,1.257,190,,Forhjul,131.000,,4,52,"12,3",8,2.180,633,"Volvo V40 1,6 D2 115 Summum",Manuel,,115,Hatchback,1.300,119.900,12-07-2013,5,"27,8",Diesel,6
2018,Hvid,1.278,183,,Forhjul,76.000,226.014,3,45,"10,6",6,1.780,537,"Citroën C3 Aircross 1,2 PT 110 Iconic EAT6",Automatisk,,110,SUV,840,189.900,23-01-2019,5,"19,3",Benzin,6
2006,Sort,1.025,174,,Forhjul,171.000,142.498,4,45,"12,5",4,1.880,525,"Hyundai Accent 1,3 LS",Manuel,,86,Hatchback,900,9.900,20-03-2006,5,"16,7",Benzin,5
2017,Koksmetal,1.115,168,,Forhjul,26.000,144.454,3,50,"11,1",4,1.280,435,"Dacia Sandero Stepway 0,9 TCe 90 Prestige",Manuel,,90,Hatchback,1.090,104.800,21-04-2017,5,"19,6",Benzin,5
2015,Sortmetal,1.385,210,,Forhjul,220.000,,4,50,"9,2",7,3.020,625,"Mercedes A200 2,2 CDi aut. Van",Automatisk,,136,Hatchback,1.500,119.700,06-06-2014,5,"24,4",Diesel,7
2005,Champagnemetal,1.325,188,,Forhjul,320.000,318.783,4,62,"12,3",6,3.740,550,"Nissan Primera 1,8 Acenta stc.",Manuel,,116,Stationcar,1.500,6.900,12-05-2005,5,"13,5",Benzin,5
2017,Blåmetal,,,,,89.000,360.915,,,,6,4.680,,"Nissan X-Trail 1,6 dCi 130 N-Connecta 7prs",Manuel,,130,SUV,,229.000,11-01-2017,5,"19,6",Diesel,6
2015,,925,170,,Forhjul,79.000,159.092,3,41,"13,7",6,660,500,"Nissan Micra 1,2 Tekna",Manuel,,80,Hatchback,,64.900,20-03-2015,5,20,Benzin,5
2016,Koksmetal,1.515,229,,Baghjul,98.000,,4,41,"7,6",7,3.020,675,"Mercedes C220 d 2,2 Avantgarde stc. aut.",Automatisk,,170,Stationcar,1.800,324.900,09-02-2016,5,"22,7",Diesel,7
2014,Sortmetal,840,161,,Forhjul,105.000,112.797,3,35,"14,4",4,660,450,"VW UP! 1,0 60 Move Up! BMT",Manuel,,60,Hatchback,,59.990,26-03-2014,5,"24,4",Benzin,5
2015,Brunmetal,1.176,187,,Forhjul,92.000,216.988,3,55,"12,5",6,660,724,"Ford Focus 1,0 SCTi 100 Trend",Manuel,,100,Hatchback,1.000,107.900,27-04-2015,5,"21,7",Benzin,5
